repo_name,file_path,stars
coolwanglu/vim.js,runtime/tools/mve.awk,207
chromium/chromium,third_party/protobuf/java/kotlin-lite/lite.awk,206
chromium/chromium,third_party/protobuf/java/lite/lite.awk,206
chromium/chromium,third_party/utf/src/bin/mkrunetype.awk,206
pfsense/pfsense,src/usr/local/bin/iftop_parse.awk,206
ellson/graphviz,awk/brewer.awk,202
ellson/graphviz,awk/colortbl.awk,202
ellson/graphviz,awk/stringize.awk,202
ellson/graphviz,awk/svgcolor.awk,202
ellson/graphviz,awk/typegraph.awk,202
ellson/graphviz,contrib/gprof2dot.awk,202
ellson/graphviz,doc/infosrc/brewer.awk,202
ellson/graphviz,doc/infosrc/mkcolors.awk,202
ellson/graphviz,doc/infosrc/svg.awk,202
ellson/graphviz,doc/infosrc/sz.awk,202
ellson/graphviz,rtest/strps.awk,202
emccode/rexray,vendor/cloud.google.com/go/internal/readme/snipmd.awk,202
languagetool-org/languagetool,languagetool-dev/src/main/resources/tools/stats.awk,200
languagetool-org/languagetool,languagetool-language-modules/en/src/main/resources/org/languagetool/resource/en/filter_out.awk,200
languagetool-org/languagetool,languagetool-language-modules/en/src/main/resources/org/languagetool/resource/en/get_all_english_cardinal.awk,200
languagetool-org/languagetool,languagetool-language-modules/en/src/main/resources/org/languagetool/resource/en/get_unc.awk,200
languagetool-org/languagetool,languagetool-language-modules/en/src/main/resources/org/languagetool/resource/en/remap.awk,200
languagetool-org/languagetool,languagetool-language-modules/en/src/main/resources/org/languagetool/resource/en/synteza.awk,200
languagetool-org/languagetool,languagetool-language-modules/en/src/main/resources/org/languagetool/resource/en/tags.awk,200
languagetool-org/languagetool,languagetool-language-modules/en/src/main/resources/org/languagetool/resource/en/test_dict.awk,200
languagetool-org/languagetool,languagetool-language-modules/es/src/main/resources/org/languagetool/resource/es/synthesis.awk,200
languagetool-org/languagetool,languagetool-language-modules/it/src/main/resources/org/languagetool/resource/it/morph_data_italian.awk,200
languagetool-org/languagetool,languagetool-language-modules/it/src/main/resources/org/languagetool/resource/it/not_smi.awk,200
languagetool-org/languagetool,languagetool-language-modules/ru/src/main/resources/org/languagetool/resource/ru/hunspell/freq-wordlist.awk,200
languagetool-org/languagetool,languagetool-language-modules/ru/src/main/resources/org/languagetool/resource/ru/hunspell/make_spell_dict.awk,200
languagetool-org/languagetool,languagetool-language-modules/ru/src/main/resources/org/languagetool/resource/ru/yo.awk,200
universal-ctags/ctags,Units/parser-awk.r/functions.d/input.awk,197
universal-ctags/ctags,Units/parser-awk.r/simple-awk.d/input.awk,197
universal-ctags/ctags,Units/parser-awk.r/simple2-awk.d/input.awk,197
SmingHub/Sming,Sming/Arch/Rp2040/Components/rp2040/board-info.awk,192
SmingHub/Sming,Sming/help.awk,192
ReactiveCocoa/ReactiveViewModel,script/schemes.awk,190
ReactiveCocoa/ReactiveViewModel,script/targets.awk,190
ReactiveCocoa/ReactiveViewModel,script/xcodebuild.awk,190
ReactiveCocoa/ReactiveViewModel,script/xctool.awk,190
darktable-org/darktable,tools/noise/extract-values-from-presets.awk,185
flycheck/flycheck,test/resources/language/awk/syntax-error.awk,179
ntop/PF_RING,userland/tcpdump-4.99.1/atime.awk,166
ntop/PF_RING,userland/tcpdump-4.99.1/packetdat.awk,166
ntop/PF_RING,userland/tcpdump-4.99.1/send-ack.awk,166
ntop/PF_RING,userland/tcpdump-4.99.1/stime.awk,166
pepibumur/SoundCloudSwift,script/schemes.awk,166
pepibumur/SoundCloudSwift,script/targets.awk,166
pepibumur/SoundCloudSwift,script/xcodebuild.awk,166
pepibumur/SoundCloudSwift,script/xctool.awk,166
id-Software/DOOM-3,neo/curl/packages/NetWare/get_ver.awk,165
yiisoft/yii2-app-advanced,vagrant/provision/provision.awk,158
farjump/fwtr,scripts/lib/awk/fwts/bios_info.awk,155
farjump/fwtr,scripts/lib/awk/probe.awk,155
farjump/fwtr,scripts/lib/awk/utils.awk,155
openwrt/packages,net/unbound/files/odhcpd.awk,155
kennyledet/Algorithm-Implementations,10_Harshad_Number/AWK/wasi0013/HarshadNumber.awk,154
kennyledet/Algorithm-Implementations,99_Bottles_Problem/AWK/wasi0013/99Bottles.awk,154
kennyledet/Algorithm-Implementations,Binary_Search/AWK/wasi0013/BinarySearch.awk,154
kennyledet/Algorithm-Implementations,Towers_Of_Hanoi/AWK/wasi0013/Hanoi.awk,154
ankidroid/Anki-Android,tools/lib/increase-version.awk,153
lizardfs/lizardfs,external/crcutil-1.0/doc/text/convert.awk,152
tinyproxy/tinyproxy,docs/web/podhtml-filter.awk,151
Entware-ng/Entware-ng,include/scan.awk,145
Entware-ng/Entware-ng,package/network/config/qos-scripts/files/usr/lib/qos/tcrules.awk,145
gitblit/gitblit,src/site/templates/ghreleasenotes.awk,134
Free-Software-for-Android/AdAway,tcpdump/jni/tcpdump/atime.awk,132
Free-Software-for-Android/AdAway,tcpdump/jni/tcpdump/packetdat.awk,132
Free-Software-for-Android/AdAway,tcpdump/jni/tcpdump/send-ack.awk,132
Free-Software-for-Android/AdAway,tcpdump/jni/tcpdump/stime.awk,132
linux-test-project/ltp,include/lapi/syscalls/strip_syscall.awk,128
linux-test-project/ltp,testcases/open_posix_testsuite/scripts/print-pass-fail-summary.awk,128
linux-test-project/ltp,tools/create_dmesg_entries_for_each_test.awk,128
linux-test-project/ltp,tools/create_kernel_faults_in_loops_and_probability.awk,128
linux-test-project/ltp,tools/create_valgrind_check.awk,128
exvim/main,vimfiles/tools/gawk/file-filter-exc.awk,126
exvim/main,vimfiles/tools/gawk/file-filter-inc.awk,126
exvim/main,vimfiles/tools/gawk/inherits.awk,126
exvim/main,vimfiles/tools/gawk/no-strip-symbol.awk,126
exvim/main,vimfiles/tools/gawk/null-terminal-files.awk,126
icanzilb/EventBlankApp,EventBlank/Vendor/CocoaMarkdown/External/CommonMark/tools/format_benchmarks.awk,126
cucumber/cucumber-jvm,scripts/remove-empty-sections-changelog.awk,124
facebook/mysql-5.6,mysql-test/suite/rocksdb/slow_query_log.awk,116
facebook/mysql-5.6,storage/ndb/src/common/debugger/signaldata/print.awk,116
facebook/mysql-5.6,xtrabackup/src/libarchive/doc/mdoc2man.awk,116
facebook/mysql-5.6,xtrabackup/src/libarchive/doc/mdoc2wiki.awk,116
GarageGames/Torque2D,engine/lib/freetype/android/freetype-2.4.12/builds/atari/deflinejoiner.awk,115
majn/telegram-purple,telegram-purple.nsi.awk,115
TTimo/doom3.gpl,neo/curl/packages/NetWare/get_ver.awk,114
darlinghq/darling,src/bootstrap_cmds/migcom.tproj/mig.awk,114
darlinghq/darling,src/kernel/libsyscall/xcodescripts/filter_mig.awk,114
darlinghq/darling,src/ncurses/include/MKterm.h.awk,114
darlinghq/darling,src/ncurses/mk-0th.awk,114
darlinghq/darling,src/ncurses/mk-1st.awk,114
darlinghq/darling,src/ncurses/mk-2nd.awk,114
darlinghq/darling,src/ncurses/mk-hdr.awk,114
darlinghq/darling,src/ncurses/ncurses/base/MKkeyname.awk,114
darlinghq/darling,src/ncurses/ncurses/base/MKunctrl.awk,114
darlinghq/darling,src/ncurses/ncurses/tinfo/MKcaptab.awk,114
darlinghq/darling,src/ncurses/ncurses/tinfo/MKcodes.awk,114
darlinghq/darling,src/ncurses/ncurses/tinfo/MKnames.awk,114
darlinghq/darling,src/ncurses/test/mk-test.awk,114
mgba-emu/mgba,src/third-party/libpng/scripts/checksym.awk,110
mgba-emu/mgba,src/third-party/libpng/scripts/dfn.awk,110
mgba-emu/mgba,src/third-party/libpng/scripts/options.awk,110
jung-kurt/gofpdf,doc/go.awk,109
openwrt-mirror/openwrt,include/scan.awk,108
openwrt-mirror/openwrt,package/network/config/qos-scripts/files/usr/lib/qos/tcrules.awk,108
Squirrel/Squirrel.Mac,script/schemes.awk,107
Squirrel/Squirrel.Mac,script/targets.awk,107
Squirrel/Squirrel.Mac,script/xcodebuild.awk,107
Squirrel/Squirrel.Mac,script/xctool.awk,107
josiahcarlson/redis-in-action,gawk/ch01/ch01.awk,106
josiahcarlson/redis-in-action,gawk/ch04/ch04.awk,106
wummel/linkchecker,linkcheck/HtmlParser/fixincludes.awk,102
zyq8709/DexHunter,dalvik/opcode-gen/opcode-gen.awk,100
richeterre/SwiftGoal,Carthage/Checkouts/ReactiveCocoa/script/schemes.awk,99
richeterre/SwiftGoal,Carthage/Checkouts/ReactiveCocoa/script/targets.awk,99
richeterre/SwiftGoal,Carthage/Checkouts/ReactiveCocoa/script/xcodebuild.awk,99
richeterre/SwiftGoal,Carthage/Checkouts/ReactiveCocoa/script/xctool.awk,99
uwplse/verdi,script/orphaned-imports.awk,94
webscalesql/webscalesql-5.6,storage/ndb/src/common/debugger/signaldata/print.awk,94
deferpanic/gorump,1.7/go/src/hash/test_gen.awk,90
deferpanic/gorump,go1.5/src/hash/test_gen.awk,90
linux-on-ibm-z/go,src/hash/test_gen.awk,90
awslabs/aws-big-data-blog,aws-blog-vpc-toptalkers/bin/portfilter.awk,89
xtaci/gonet,src/scripts/api.awk,88
xtaci/gonet,src/scripts/api_bind_req.awk,88
xtaci/gonet,src/scripts/api_rcode.awk,88
xtaci/gonet,src/scripts/proto.awk,88
xtaci/gonet,src/scripts/proto_func.awk,88
uncrustify/uncrustify,scripts/add_test_list.awk,86
uncrustify/uncrustify,scripts/compare_the_gcov.awk,86
uncrustify/uncrustify,tests/BRACED_INIT_LIST_found_list.awk,86
wheybags/freeablo,extern/SDL_image/external/libpng-1.6.2/scripts/checksym.awk,86
wheybags/freeablo,extern/SDL_image/external/libpng-1.6.2/scripts/dfn.awk,86
wheybags/freeablo,extern/SDL_image/external/libpng-1.6.2/scripts/options.awk,86
wheybags/freeablo,extern/libpng/scripts/checksym.awk,86
wheybags/freeablo,extern/libpng/scripts/dfn.awk,86
wheybags/freeablo,extern/libpng/scripts/options.awk,86
google/mtail,log_rewriter.awk,85
ros/ros,core/mk/eclipse.awk,85
Morantron/tmux-fingers,scripts/hinter.awk,84
erichoracek/Motif,Carthage/Checkouts/expecta/Tests/Support/objc-build-scripts/schemes.awk,84
erichoracek/Motif,Carthage/Checkouts/expecta/Tests/Support/objc-build-scripts/xctool.awk,84
5digits/dactyl,common/process_config.awk,83
5digits/dactyl,common/process_manifest.awk,83
Proxmark/proxmark3,client/usb_cmd_h2lua.awk,80
apache/incubator-tinkerpop,bin/publish-docs.awk,79
apache/incubator-tinkerpop,bin/publish-home.awk,79
apache/incubator-tinkerpop,docs/postprocessor/processor.awk,79
apache/incubator-tinkerpop,docs/preprocessor/awk/cleanup.awk,79
apache/incubator-tinkerpop,docs/preprocessor/awk/ignore.awk,79
apache/incubator-tinkerpop,docs/preprocessor/awk/init-code-blocks.awk,79
apache/incubator-tinkerpop,docs/preprocessor/awk/language-variants.awk,79
apache/incubator-tinkerpop,docs/preprocessor/awk/prepare.awk,79
apache/incubator-tinkerpop,docs/preprocessor/awk/prettify.awk,79
apache/incubator-tinkerpop,docs/preprocessor/awk/progressbar.awk,79
apache/incubator-tinkerpop,docs/preprocessor/awk/tabify.awk,79
lumifyio/lumify,web/war/src/main/webapp/tz/leapseconds.awk,79
scummvm/scummvm,engines.awk,74
jspahrsummers/GroceryList,script/schemes.awk,68
jspahrsummers/GroceryList,script/xctool.awk,68
rheinfabrik/Heimdallr.swift,script/schemes.awk,67
rheinfabrik/Heimdallr.swift,script/xctool.awk,67
dzavalishin/phantomuserland,plib/resources/buttons/defs.awk,66
dzavalishin/phantomuserland,plib/resources/ttfonts/rename.awk,66
alexdobin/STAR,extras/doc-latex/convertParDefToLatexTable.awk,64
alexdobin/STAR,extras/scripts/calcInsertCoverage.awk,64
alexdobin/STAR,extras/scripts/filterCirc.awk,64
alexdobin/STAR,extras/scripts/mergeGeneCounts.awk,64
alexdobin/STAR,extras/scripts/mergeLogFinal.awk,64
alexdobin/STAR,extras/scripts/mergeSuperContig.awk,64
alexdobin/STAR,extras/scripts/sjBED12.awk,64
alexdobin/STAR,extras/scripts/sjCollapseSamples.awk,64
alexdobin/STAR,extras/scripts/sjFromSAMcollapseUandM.awk,64
alexdobin/STAR,extras/scripts/sjFromSAMcollapseUandM_inclOverlaps.awk,64
alexdobin/STAR,extras/scripts/soloBasicCellFilter.awk,64
alexdobin/STAR,extras/scripts/soloCompareMtx.awk,64
alexdobin/STAR,extras/scripts/soloCountMatrixFromBAM.awk,64
alexdobin/STAR,extras/scripts/soloExtractFiltCells.awk,64
alexdobin/STAR,extras/scripts/soloUMIperCell.awk,64
alexdobin/STAR,extras/scripts/tagXSstrandedData.awk,64
alexdobin/STAR,extras/scripts/transcriptTypes.awk,64
alexdobin/STAR,extras/scripts/transfragsFromBedGraph.awk,64
alexdobin/STAR,extras/tests/scripts/checkCellReadsStats.awk,64
alexdobin/STAR,extras/tests/scripts/checkCellReadsStats_vsBAM.awk,64
alexdobin/STAR,extras/tests/scripts/checkCellReadsStats_vsMatrix.awk,64
y123456yz/Reading-and-comprehense-linux-Kernel-network-protocol-stack,linux-net-kernel/net/wireless/genregdb.awk,62
RasPlex/OpenPHT,xbmc/screensavers/rsxs-0.9/scripts/install.awk,60
RasPlex/OpenPHT,xbmc/screensavers/rsxs-0.9/scripts/uninstall.awk,60
RasPlex/OpenPHT,xbmc/screensavers/rsxs-0.9/scripts/verify.awk,60
LibreOffice/core,bin/includebloat.awk,59
LibreOffice/core,i18nlangtag/source/isolang/lcid.awk,59
LibreOffice/core,i18npool/source/localedata/data/currency-check.awk,59
LibreOffice/core,i18npool/source/localedata/data/list-dateacceptancepattern.awk,59
LibreOffice/core,i18npool/source/localedata/data/list-locales.awk,59
LibreOffice/core,i18npool/source/localedata/data/sort-formats.awk,59
LibreOffice/core,sc/util/number-defines-consecutively.awk,59
LibreOffice/core,solenv/bin/getcompver.awk,59
LibreOffice/core,solenv/gbuild/platform/filter-creatingLibrary.awk,59
LibreOffice/core,solenv/gbuild/platform/filter-showIncludes.awk,59
LibreOffice/core,solenv/gbuild/platform/filter-sourceName.awk,59
LibreOffice/core,sw/inc/poolfmt.awk,59
oetiker/rrdtool-1.x,src/get_ver.awk,59
mldbai/mldb,jml-build/print-line-counts.awk,58
mldbai/mldb,jml-build/print-timing.awk,58
oridb/mc,support/syscall-gen/gencalls.awk,58
ovh/overthebox-feeds,bandwidth/fetch.awk,58
ovh/overthebox-feeds,bandwidth/watch.awk,58
certtools/intelmq,intelmq/tests/bots/parsers/shadowserver/testdata/clean-shadowserver.awk,56
muennich/sxiv,icon/dat2h.awk,56
bengardner/uncrustify,scripts/count.awk,54
smallnest/go-web-framework-benchmark,testresults/tst.awk,53
HerculesWS/Hercules,3rdparty/libbacktrace/filetype.awk,52
twitter/mysql,storage/ndb/src/common/debugger/signaldata/print.awk,52
oNaiPs/droidVncServer,jni/libpng/scripts/checksym.awk,51
oNaiPs/droidVncServer,jni/libpng/scripts/options.awk,51
smartdevicelink/sdl_core,src/3rd_party/apr-1.5.0/build/make_exports.awk,48
smartdevicelink/sdl_core,src/3rd_party/apr-1.5.0/build/make_nw_export.awk,48
smartdevicelink/sdl_core,src/3rd_party/apr-1.5.0/build/make_var_export.awk,48
smartdevicelink/sdl_core,src/3rd_party/apr-1.5.0/build/nw_make_header.awk,48
smartdevicelink/sdl_core,src/3rd_party/apr-1.5.0/build/nw_ver.awk,48
smartdevicelink/sdl_core,src/3rd_party/apr-1.5.0/build/win32ver.awk,48
POV-Ray/povray,libraries/png/scripts/checksym.awk,47
POV-Ray/povray,libraries/png/scripts/options.awk,47
cpitclaudel/company-coq,etc/symbols.awk,47
coreboot/coreboot,src/soc/amd/common/vboot/early_ram_symbols.awk,45
haka-security/haka,build/CheckValgrind.awk,45
haka-security/haka,build/CompareOutput.awk,45
haka-security/haka,build/ComparePcap.awk,45
haka-security/haka,build/FilterValgrind.awk,45
libos-nuse/net-next-nuse,Documentation/arm/Samsung/clksrc-change-registers.awk,44
libos-nuse/net-next-nuse,arch/x86/tools/chkobjdump.awk,44
libos-nuse/net-next-nuse,arch/x86/tools/distill.awk,44
libos-nuse/net-next-nuse,arch/x86/tools/gen-insn-attr-x86.awk,44
libos-nuse/net-next-nuse,lib/raid6/unroll.awk,44
libos-nuse/net-next-nuse,net/wireless/genregdb.awk,44
libos-nuse/net-next-nuse,tools/objtool/arch/x86/insn/gen-insn-attr-x86.awk,44
libos-nuse/net-next-nuse,tools/perf/arch/x86/tests/gen-insn-x86-dat.awk,44
libos-nuse/net-next-nuse,tools/perf/util/intel-pt-decoder/gen-insn-attr-x86.awk,44
libtrading/libtrading,tools/fix/fix_client.awk,44
yiisoft/yii2-app-basic,vagrant/provision/provision.awk,44
proot-me/PRoot,util/parse-docker-tag.awk,42
Entware/entware,include/scan.awk,41
Entware/entware,package/network/config/qos-scripts/files/usr/lib/qos/tcrules.awk,41
RangeNetworks/openbts,Control/ladders.awk,41
squid-cache/squid,scripts/merge-cf.data.pre.awk,41
squid-cache/squid,src/mk-globals-c.awk,41
squid-cache/squid,src/mk-string-arrays.awk,41
xsmart/opencvr,3rdparty/curl/packages/NetWare/get_exp.awk,41
xsmart/opencvr,3rdparty/curl/packages/NetWare/get_ver.awk,41
libssh2/libssh2,get_ver.awk,40
andr3wmac/Torque6,lib/freetype/android/freetype-2.4.12/builds/atari/deflinejoiner.awk,39
mongrel2/mongrel2,release-scripts/update-readme.awk,39
mongrel2/mongrel2,release-scripts/update-site-header.awk,39
GeertJohan/openwrt-go,include/scan.awk,38
GeertJohan/openwrt-go,package/network/config/qos-scripts/files/usr/lib/qos/tcrules.awk,38
fedora-cloud/Fedora-Dockerfiles,postgresql/root/usr/share/cont-lib/awkscripts/simple-macros.awk,38
gvansickle/ucg,tests/stats.awk,38
muennich/mupdf,scripts/find-blanks.awk,37
polyml/polyml,mlsource/extra/Motif/initialClasses.awk,37
polyml/polyml,mlsource/extra/Motif/makeClasses.awk,37
polyml/polyml,mlsource/extra/Motif/makeExceptions.awk,37
polyml/polyml,mlsource/extra/Motif/makeInitials.awk,37
tmatilai/vagrant-proxyconf,resources/yum_config.awk,36
google/sagetv,third_party/mplayer/libdha/pci_db2c.awk,35
fieldtrip/fieldtrip,external/dmlt/external/gpstuff/SuiteSparse/CHOLMOD/Doc/mfile.awk,34
fieldtrip/fieldtrip,external/dmlt/external/gpstuff/SuiteSparse/CHOLMOD/Doc/rule.awk,34
fieldtrip/fieldtrip,external/dmlt/external/gpstuff/SuiteSparse/CHOLMOD/Tcov/cov.awk,34
fieldtrip/fieldtrip,external/dmlt/external/gpstuff/SuiteSparse/CSparse/Tcov/cov.awk,34
